Year,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9
1980,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1981,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1983,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1984,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1985,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1986,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1987,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1988,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1989,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1990,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1991,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1992,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1993,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1994,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1995,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1996,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1998,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1999,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2000,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2001,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2002,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2003,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2004,0,0,0,0.027434159,0.176914663,0.718106732,0.030195146,0.01444293,0.010504446,0.022168755
2005,0,0,0,0.17243221,0.157539604,0.151999517,0.441028821,0.02091061,0.028278867,0.025245616
2006,0,0,0,0.041539676,0.184159182,0.080470249,0.121809818,0.510947003,0.017574445,0.042795565
2007,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2008,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2009,0,0,0,0.07329797,0.410149773,0.343966754,0.046201656,0.021855904,0.038011528,0.066025936
2010,0,0,0,0.164591886,0.120191307,0.392680968,0.227799953,0.032024365,0.019534961,0.03934448
2011,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2012,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2013,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2014,0,0,0,0.01560078,0.152357922,0.321767911,0.090349242,0.161564161,0.131733602,0.126626383
2015,0,0,0,0.045688083,0.006771342,0.11216858,0.276613785,0.14578026,0.186073827,0.226904124
2016,0,0,0,0.362217152,0.280746599,0.058027826,0.075903656,0.098617282,0.040786742,0.069925031
2017,0,0,0,0.51732337,0.216372283,0.166440217,0.038043478,0.030910326,0.019701087,0.0051
2018,0,0,0,0.275935907,0.44156677,0.168459737,0.08807116,0.011097999,0.011311287,0.003557141
2019,0,0,0,0.844006342,0.048806062,0.070979598,0.026786256,0.007267143,0.0021546,0
2020,0,0,0,0.106927711,0.792921687,0.041415663,0.031626506,0.024096386,0.002259036,0.0008
2021,0,0,0,0.137382158,0.14068631,0.668256386,0.029648864,0.016297399,0.006935971,0.000792913
2022,0,0,0,0.1948,0.1068,0.1582,0.5125,0.0176,0.0082,0.002
2023,0,0,0,0.3833,0.3337,0.0626,0.0741,0.1394,0.0057,0.001
2024,0,0,0,0.0989,0.3701,0.3122,0.061,0.0536,0.0994,0.0048
